Name,picture_link,Wikipedia_Link,division,rating,bouts,rounds,KOs,Career,Debut,vada,titles,ID,Birth Name,sex,Alias,Age,Nationality,Stance,Height,Reach,Residence,Birth Place,Win,Lose,Draw
Brian Mendoza,https://boxrec.com/images/thumb/8/8d/686766.jpeg/200px-686766.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3026202,super welter,5.0,25,101,72.73%,2014-2023,2014-05-10,,,686766,Brian Marino Mendoza,male,La Bala,29,USA,orthodox,5′ 10″   /   178cm,70″   /   178cm,"Las Vegas, Nevada, USA","Albuquerque, New Mexico, USA",22,3,0
Sebastian Fundora,https://boxrec.com/images/thumb/e/ee/SebastianFundoraBoxrec.jpeg/200px-SebastianFundoraBoxrec.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3114610,super welter,5.0,22,116,65%,2016-2023,2016-09-24,,,773847,Sebastian Alexander Fundora,male,The Towering Inferno,26,USA,southpaw,6′ 5½″   /   197cm,80″   /   203cm,"Coachella, California, USA","West Palm Beach, Florida, USA",20,1,1
Sergiy Derevyanchenko,https://boxrec.com/images/thumb/d/db/.SergiyDerevyanchenkoBoxrec.jpeg/200px-.SergiyDerevyanchenkoBoxrec.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2971467,super middle,5.0,19,137,71.43%,2014-2023,2014-07-23,,,691996,Сергей Вячеславович Деревянченко,male,The Technician,38,Ukraine,orthodox,5′ 9″   /   175cm,67½″   /   171cm,"Brooklyn, New York, USA","Feodosia, Crimea, Ukraine",14,5,0
Sandor Martin,https://boxrec.com/images/thumb/5/58/578364.jpg/200px-578364.jpg,https://boxrec.com/wiki/index.php?title=Fight:3065972,super light,5.0,45,293,35.71%,2011-2023,2011-10-08,,,578364,Sandor Martin Clemente,male,Arrasandor,30,Spain,southpaw,5′ 7½″   /   172cm,,"Barcelona, Cataluña, Spain","Barcelona, Cataluña, Spain",42,3,0
Cody Crowley,https://boxrec.com/images/thumb/3/31/691371.jpg/200px-691371.jpg,https://boxrec.com/wiki/index.php?title=Fight:2941952,welter,5.0,22,140,40.91%,2014-2023,2014-06-28,,,691371,,male,The Crippler,30,Canada,southpaw,5′ 10″   /   178cm,72″   /   183cm,"Las Vegas, Nevada, USA","Peterborough, Ontario, Canada",22,0,0
Anthony Cacace,https://boxrec.com/images/thumb/0/08/Anthony_Cacace.jpeg/200px-Anthony_Cacace.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3108641,super feather,5.0,22,144,33.33%,2012-2023,2012-02-25,,IBO World Super Feather,599965,,male,'The Apache' or 'Anto',35,Ireland,southpaw,5′ 10″   /   178cm,,"Belfast, Northern Ireland, United Kingdom","Belfast, Northern Ireland, United Kingdom",21,1,0
Rey Vargas,https://boxrec.com/images/thumb/a/ae/Rey_Vargas_Head.jpg/200px-Rey_Vargas_Head.jpg,https://boxrec.com/wiki/index.php?title=Fight:3108623,feather,5.0,37,234,61.11%,2010-2023,2010-04-10,,WBC World Feather,542148,Rey Geovani Vargas Roldán,male,,33,Mexico,orthodox,5′ 7½″   /   172cm,70½″   /   179cm,"Otumba, México, Mexico","Mexico City, Distrito Federal, Mexico",36,1,0
Felix Alvarado,https://boxrec.com/images/thumb/2/23/530362a.jpg/200px-530362a.jpg,https://boxrec.com/wiki/index.php?title=Fight:3115613,fly,5.0,44,178,87.5%,2010-2024,2010-03-12,,,530362,Felix Pedro Alvarado Sanchez,male,El Gemelo,34,Nicaragua,orthodox,5′ 4″   /   163cm,67″   /   170cm,"Managua, Nicaragua","Managua, Nicaragua",40,4,0
Edwin De Los Santos,https://boxrec.com/images/thumb/f/f2/854612.jpg/200px-854612.jpg,https://boxrec.com/wiki/index.php?title=Fight:3040238,light,5.0,18,60,87.5%,2018-2023,2018-08-25,,,854612,Edwin De Los Santos Feliz,male,,24,Dominican Republic,southpaw,5′ 8″   /   173cm,70″   /   178cm,"Santo Domingo, Dominican Republic","Santo Domingo, Dominican Republic",16,2,0
Raymond Muratalla,https://boxrec.com/images/thumb/d/de/Raymond_Muratalla.jpeg/200px-Raymond_Muratalla.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3117052,light,5.0,19,79,84.21%,2016-2023,2016-09-16,,WBO Global Light,775203,,male,Danger,27,USA,orthodox,5′ 8″   /   173cm,,"Fontana, California, USA","West Covina, California, USA",19,0,0
Magomed Kurbanov,https://boxrec.com/images/thumb/f/f6/MagomedKurbanov.jpg/200px-MagomedKurbanov.jpg,https://boxrec.com/wiki/index.php?title=Fight:2953824,super welter,5.0,25,177,52%,2015-2023,2015-06-19,,,722209,Магомед Рамазанович Курбанов,male,Black Lion,28,Russia,orthodox,5′ 9½″   /   177cm,,"Ekaterinburg, Russia","Pervomayskoye, Dagestan, Russia",25,0,0
Christian Mbilli,https://boxrec.com/images/thumb/b/bc/ChristianMbilli_profile.jpg/200px-ChristianMbilli_profile.jpg,https://boxrec.com/wiki/index.php?title=Fight:3056607,super middle,5.0,26,121,84.62%,2017-2024,2017-02-09,,,785657,Christian Mbilli Assomo-Hallier,male,Solide,28,France,orthodox,5′ 8½″   /   174cm,72″   /   183cm,"Pornic, Loire-Atlantique, France","Yaounde, Cameroon",26,0,0
Carlos Cuadras,https://boxrec.com/images/thumb/1/11/Carlos_Cuadras_Quiroa.jpg/200px-Carlos_Cuadras_Quiroa.jpg,https://boxrec.com/wiki/index.php?title=Fight:3067305,super fly,5.0,48,289,66.67%,2008-2023,2008-05-31,,WBC Interim World Super Fly,453289,Carlos Cuadras Quiroa,male,Principe,35,Mexico,orthodox,5′ 4″   /   163cm,66″   /   168cm,"Mexico City, Distrito Federal, Mexico","Guamuchil, Sinaloa, Mexico",42,5,1
Moussa Gholam,https://boxrec.com/images/thumb/b/bd/753344.jpg/200px-753344.jpg,https://boxrec.com/wiki/index.php?title=Fight:3088188,super feather,5.0,22,110,61.9%,2016-2024,2016-04-01,,,753344,,male,,28,Morocco,orthodox,5′ 10″   /   178cm,,"L'Hospitalet de Llobregat, Cataluña, Spain","Larache, Morocco",21,1,0
Takuma Inoue,https://boxrec.com/images/thumb/4/4c/Takuma_Inoue.jpg/200px-Takuma_Inoue.jpg,https://boxrec.com/wiki/index.php?title=Fight:3091541,bantam,5.0,19,170,22.22%,2013-2023,2013-12-06,,WBA World Bantam,667667,井上拓真,male,,28,Japan,orthodox,5′ 4½″   /   164cm,64″   /   163cm,"Yokohama, Kanagawa, Japan","Zama, Kanagawa, Japan",18,1,0
Muhammadkhuja Yaqubov,https://boxrec.com/images/thumb/0/0e/Muhammadkhuja_Yaqubov.jpeg/200px-Muhammadkhuja_Yaqubov.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3059686,super feather,5.0,22,139,52.38%,2015-2023,2015-12-12,,,754350,Мухаммадхуча Искандарович Якубов,male,,28,Tajikistan,southpaw,5′ 5″   /   165cm,,"Isfara, Tajikistan","Isfara, Tajikistan",21,1,0
Henry Lebron,https://boxrec.com/images/thumb/b/b2/785770.jpg/200px-785770.jpg,https://boxrec.com/wiki/index.php?title=Fight:3038260,super feather,5.0,19,98,52.63%,2017-2023,2017-02-03,,,785770,Henry Lebron-Gonzalez,male,Moncho,26,Puerto Rico,southpaw,5′ 6″   /   168cm,68″   /   173cm,"Aguadilla, Puerto Rico","Moca, Puerto Rico",19,0,0
Taku Kuwahara,https://boxrec.com/images/thumb/9/9f/Taku_Kuwahara.JPG/200px-Taku_Kuwahara.JPG,https://boxrec.com/wiki/index.php?title=Fight:2974898,fly,5.0,14,71,61.54%,2018-2023,2018-05-25,,,836764,桑原拓,male,,28,Japan,orthodox,5′ 4½″   /   164cm,,"Yokohama, Kanagawa, Japan","Osaka, Osaka, Japan",13,1,0
