Name,picture_link,Wikipedia_Link,division,rating,bouts,rounds,KOs,Career,Debut,vada,titles,ID,Birth Name,sex,Alias,Age,Nationality,Stance,Height,Reach,Residence,Birth Place,Win,Lose,Draw
Kenneth Sims Jr,https://boxrec.com/images/thumb/b/b3/678994.jpg/200px-678994.jpg,https://boxrec.com/wiki/index.php?title=Fight:2969162,super light,5.0,23,128,35%,2014-2023,2014-03-07,,,678994,Kenneth Mark Sims Jr.,male,Bossman,30,USA,orthodox,5′ 10″   /   178cm,69″   /   175cm,"Chicago, Illinois, USA","Chicago, Illinois, USA",20,2,1
Christian Araneta,https://boxrec.com/images/thumb/c/ca/663077.jpg/200px-663077.jpg,https://boxrec.com/wiki/index.php?title=Fight:3075488,light fly,5.0,26,129,79.17%,2013-2024,2013-09-07,,,663077,Cristian Aniadas Araneta,male,The Bomb,28,Philippines,southpaw,5′ 4″   /   163cm,,"Cebu City, Cebu, Philippines","Mandaue City, Cebu, Philippines",24,2,0
Vladimir Shishkin,https://boxrec.com/images/thumb/e/eb/Vladimir_Igorevich_Shishkin.jpeg/200px-Vladimir_Igorevich_Shishkin.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3037018,super middle,5.0,15,106,60%,2016-2023,2016-07-31,,,767596,Vladmir Shishkin,male,,32,Russia,orthodox,6′ 1″   /   185cm,73″   /   185cm,"Florida, USA","Stepnoe, Russia",15,0,0
Suzumi Takayama,https://boxrec.com/images/thumb/7/7e/869523.JPEG/200px-869523.JPEG,https://boxrec.com/wiki/index.php?title=Fight:3116705,super fly,5.0,7,33,85.71%,2019-2023,2019-02-26,,,869523,高山涼深,male,,27,Japan,southpaw,5′ 5″   /   165cm,,"Tokyo, Japan","Tokyo, Japan",7,0,0
Austin Williams,https://boxrec.com/images/thumb/e/ec/861505.jpeg/200px-861505.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3096279,middle,5.0,16,79,68.75%,2019-2024,2019-04-26,,,861505,,male,Ammo,27,USA,southpaw,6′ 0″   /   183cm,78″   /   198cm,"Houston, Texas, USA","Milwaukee, Wisconsin, USA",16,0,0
Jamal James,https://boxrec.com/images/thumb/2/2b/534798.jpeg/200px-534798.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2933314,welter,5.0,30,192,42.86%,2010-2023,2010-05-22,,,534798,Jamal A James,male,Shango,35,USA,orthodox,6′ 2″   /   188cm,70″   /   178cm,"Minneapolis, Minnesota, USA","Minneapolis, Minnesota, USA",28,2,0
Abel Ramos,https://boxrec.com/images/thumb/e/e8/579465.jpeg/200px-579465.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2941952,welter,5.0,35,178,77.78%,2011-2023,2011-09-02,,,579465,Abel Aaron Ramos,male,,32,USA,orthodox,5′ 9″   /   175cm,69″   /   175cm,"Casa Grande, Arizona, USA","Gettysburg, Pennsylvania, USA",27,6,2
Andy Hiraoka,https://boxrec.com/images/thumb/5/51/Andy_Hiraoka.jpg/200px-Andy_Hiraoka.jpg,https://boxrec.com/wiki/index.php?title=Fight:3061868,super light,5.0,23,114,78.26%,2013-2023,2013-12-03,,,672119,平岡Andy Justice,male,Da Blade,27,Japan,southpaw,5′ 11½″   /   182cm,74″   /   188cm,"Yokohama, Kanagawa, Japan","Yokohama, Kanagawa, Japan",23,0,0
Zhankosh Turarov,https://boxrec.com/images/thumb/8/80/483668_2023.jpg/200px-483668_2023.jpg,https://boxrec.com/wiki/index.php?title=Fight:3086468,super light,5.0,28,114,71.43%,2009-2023,2009-02-06,,IBO World Super Light,483668,Жанкош Тураров,male,Da Kazakh Kid,33,Kazakhstan,orthodox,5′ 9″   /   175cm,,"Pahokee, Florida, USA","Akkol, Kazakhstan",28,0,0
Saul Sanchez,https://boxrec.com/images/thumb/5/56/746614.jpeg/200px-746614.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3066961,bantam,5.0,23,118,60%,2016-2024,2016-02-06,,,746614,Saul Avimael Sanchez,male,The Beast,26,USA,orthodox,5′ 5″   /   165cm,66″   /   168cm,"Pacoima, California, USA","Encino, California, USA",20,3,0
Pedro Guevara,https://boxrec.com/images/thumb/8/88/Pedro_Guevara.jpg/200px-Pedro_Guevara.jpg,https://boxrec.com/wiki/index.php?title=Fight:3067305,super fly,5.0,45,307,55%,2008-2023,2008-03-15,,,488496,Pedro Gibran Guevara Rocha,male,Jibran Pedrin,34,Mexico,orthodox,5′ 4″   /   163cm,67″   /   170cm,"Mazatlan, Sinaloa, Mexico","Mazatlan, Sinaloa, Mexico",40,4,1
Keita Kurihara,https://boxrec.com/images/thumb/c/cb/568329.jpg/200px-568329.jpg,https://boxrec.com/wiki/index.php?title=Fight:3098605,bantam,5.0,27,107,88.89%,2011-2024,2011-04-06,,,568329,栗原慶太,male,,31,Japan,orthodox,5′ 7½″   /   172cm,,"Tokyo, Japan","Tokyo, Japan",18,8,1
Vitaly Petryakov,https://boxrec.com/images/thumb/4/48/880069.jpg/200px-880069.jpg,https://boxrec.com/wiki/index.php?title=Fight:3040040,welter,5.0,16,81,68.75%,2019-2023,2019-05-16,,,880069,Виталий Ришатович Петряков,male,,23,Russia,orthodox,5′ 9½″   /   176cm,,"Zainsk, Russia","Almetyevsk, Russia",16,0,0
Lewis Crocker,https://boxrec.com/images/thumb/f/f7/786778_2024.jpg/200px-786778_2024.jpg,https://boxrec.com/wiki/index.php?title=Fight:3096182,welter,5.0,19,92,57.89%,2017-2024,2017-03-10,,,786778,,male,'The Croc',27,United Kingdom,orthodox,5′ 9″   /   175cm,,"Belfast, Northern Ireland, United Kingdom","Belfast, Northern Ireland, United Kingdom",19,0,0
Katsuya Yasuda,https://boxrec.com/images/thumb/0/01/Katsuya_Yasuda.jpg/200px-Katsuya_Yasuda.jpg,https://boxrec.com/wiki/index.php?title=Fight:3067024,light,5.0,14,82,61.54%,2017-2024,2017-08-30,,,808904,保田克也,male,,31,Japan,southpaw,5′ 8½″   /   174cm,,"Yokohama, Kanagawa, Japan","Omitama, Ibaragi, Japan",13,1,0
Sebastian Hernandez Reyes,https://boxrec.com/images/thumb/3/38/980578_2023.jpeg/200px-980578_2023.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3083569,super bantam,5.0,15,54,93.33%,2020-2023,2020-11-27,,,980578,,male,Logan,23,Mexico,,,,"Tijuana, Baja California, Mexico",,15,0,0
Agit Kabayel,https://boxrec.com/images/thumb/6/64/575332.jpg/200px-575332.jpg,https://boxrec.com/wiki/index.php?title=Fight:3075038,heavy,5.0,24,118,66.67%,2011-2023,2011-06-23,,,575332,,male,,31,Germany,orthodox,6′ 3″   /   191cm,,"Bochum, Nordrhein-Westfalen, Germany","Leverkusen, Nordrhein-Westfalen, Germany",24,0,0
Toshiya Ishii,https://boxrec.com/images/thumb/0/08/874956.jpg/200px-874956.jpg,https://boxrec.com/wiki/index.php?title=Fight:3024094,super bantam,5.0,9,56,66.67%,2019-2023,2019-04-18,,,874956,石井渡士也,male,,23,Japan,orthodox,5′ 4″   /   162cm,69″   /   175cm,"Fujimino, Saitama, Japan","Tachikawa, Tokyo, Japan",6,1,2
Tomoki Kameda,https://boxrec.com/images/thumb/0/07/472942.jpeg/200px-472942.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3114058,feather,5.0,44,320,55%,2008-2023,2008-11-21,,,472942,亀田和毅,male,El Mexicanito,32,Japan,orthodox,5′ 7½″   /   171cm,67″   /   170cm,"Osaka, Osaka, Japan","Osaka, Osaka, Japan",40,4,0
Melvin Jerusalem,https://boxrec.com/images/thumb/a/a6/Melvin_Jerusalem_B.JPG/200px-Melvin_Jerusalem_B.JPG,https://boxrec.com/wiki/index.php?title=Fight:3119659,minimum,5.0,24,140,57.14%,2014-2023,2014-07-13,,,696222,Melvin Oliva Jerusalem,male,Gringo,29,Philippines,orthodox,5′ 2″   /   157cm,62″   /   157cm,"Manolo Fortich, Bukidnon, Philippines","Manolo Fortich, Bukidnon, Philippines",21,3,0
Zhilei Zhang,https://boxrec.com/images/thumb/c/c8/Zhilei_Zhang_2020.JPG/200px-Zhilei_Zhang_2020.JPG,https://boxrec.com/wiki/index.php?title=Fight:3108621,heavy,5.0,28,93,80.77%,2014-2023,2014-08-08,,WBO Interim World Heavy,692149,,male,Big Bang,40,China,southpaw,6′ 6″   /   198cm,,"Bloomfield, New Jersey, USA","Zhoukou, China",26,1,1
Jesus Alejandro Ramos Jr,https://boxrec.com/images/thumb/3/3b/838652.jpeg/200px-838652.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2941950,super welter,5.0,21,90,80%,2018-2023,2018-05-26,,,838652,,male,El Mono,22,USA,southpaw,5′ 10″   /   178cm,72″   /   183cm,"Casa Grande, Arizona, USA","Casa Grande, Arizona, USA",20,1,0
Kenichi Ogawa,https://boxrec.com/images/thumb/0/09/Kenichi_Ogawa.jpg/200px-Kenichi_Ogawa.jpg,https://boxrec.com/wiki/index.php?title=Fight:3016909,super feather,5.0,32,180,67.86%,2010-2023,2010-04-30,,,535757,尾川堅一,male,,36,Japan,orthodox,5′ 8″   /   173cm,,"Tokyo, Japan","Toyohashi, Aichi, Japan",28,2,1
David Avanesyan,https://boxrec.com/images/thumb/d/d9/David_Avanesyan.jpeg/200px-David_Avanesyan.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3089773,welter,5.0,35,214,60%,2009-2023,2009-06-12,,,499476,Давид Гаврушевич Аванесян,male,Ava,35,Armenia,orthodox,5′ 8″   /   173cm,68½″   /   174cm,"Newark, Nottinghamshire, United Kingdom","Tabynskoe, Russia",30,4,1
Joe Joyce,https://boxrec.com/images/thumb/8/8a/Joe_Joyce11.jpeg/200px-Joe_Joyce11.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3110190,heavy,5.0,17,83,93.33%,2017-2023,2017-10-20,,,811429,Joseph Obey Joyce,male,'Juggernaut',38,United Kingdom,orthodox,6′ 6″   /   198cm,80″   /   203cm,"Putney, London, United Kingdom","London, United Kingdom",15,2,0
Jayr Raquinel,https://boxrec.com/images/thumb/4/4a/JayR_Raquinel.jpg/200px-JayR_Raquinel.jpg,https://boxrec.com/wiki/index.php?title=Fight:3002803,super fly,5.0,18,84,80%,2014-2023,2014-03-31,,,693056,Jay-r Sarin Raquinel,male,The Dreamer,27,Philippines,southpaw,5′ 5″   /   165cm,65½″   /   166cm,"Cauayan, Negros Occidental, Philippines","Candoni, Negros Occidental, Philippines",15,2,1
Oscar Duarte Jurado,https://boxrec.com/images/thumb/7/7e/671857.jpg/200px-671857.jpg,https://boxrec.com/wiki/index.php?title=Fight:3049365,light,5.0,29,137,80.77%,2013-2023,2013-04-20,,,671857,,male,La Migrana,28,USA,orthodox,5′ 9″   /   175cm,71″   /   180cm,"Parral, Chihuahua, Mexico","Parral, Chihuahua, Mexico",26,2,1
Roarke Knapp,https://boxrec.com/images/thumb/9/9e/Roarke_Knapp.jpeg/200px-Roarke_Knapp.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2994136,super welter,5.0,19,96,70.59%,2016-2023,2016-05-28,,,761790,Roarke Alexander William,male,,25,South Africa,orthodox,,,"Edenvale, Gauteng, South Africa","Johannesburg, Gauteng, South Africa",17,1,1
Jonathan Lopez,https://boxrec.com/images/thumb/8/85/Jonathan_Lopez_La_Roca.jpg/200px-Jonathan_Lopez_La_Roca.jpg,https://boxrec.com/wiki/index.php?title=Fight:3118261,feather,5.0,13,43,69.23%,2020-2023,2020-11-19,,,977512,Jonathan Geovanni López,male,La Roca,20,USA,,5′ 7″   /   170cm,68″   /   173cm,"Orlando, Florida, USA","Pennsylvania, USA",13,0,0
Oleksandr Gvozdyk,https://boxrec.com/images/thumb/9/90/679709_2023.jpg/200px-679709_2023.jpg,https://boxrec.com/wiki/index.php?title=Fight:3038613,light heavy,5.0,21,112,80%,2014-2023,2014-04-12,,,679709,Олександр Гвоздик,male,The Nail,36,Ukraine,orthodox,6′ 2″   /   188cm,75½″   /   192cm,"Oxnard, California, USA","Kharkiv, Ukraine",20,1,0
Filip Hrgovic,https://boxrec.com/images/thumb/4/44/FilipH.jpg/200px-FilipH.jpg,https://boxrec.com/wiki/index.php?title=Fight:3075037,heavy,5.0,17,74,82.35%,2017-2023,2017-09-30,,,813758,,male,El Animal,31,Croatia,orthodox,6′ 6″   /   198cm,,"Zagreb, Croatia","Zagreb, Croatia",17,0,0
Victor Reyes Bernabe,https://boxrec.com/images/thumb/a/a1/770179.jpg/200px-770179.jpg,https://boxrec.com/wiki/index.php?title=Fight:3022393,bantam,5.0,27,145,58.33%,2016-2023,2016-08-04,,,770179,Victor Hugo Reyes Bernabe,male,Scarface,27,Mexico,orthodox,,65½″   /   167cm,"Tijuana, Baja California, Mexico",,24,2,1
Pablo Vicente,https://boxrec.com/images/thumb/c/c1/777533a.jpeg/200px-777533a.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3059686,super feather,5.0,26,126,73.91%,2016-2023,2016-10-21,,,777533,Pablo Roberto Vicente Carmona,male,The Judge - The Cuban Menace,30,Cuba,orthodox,5′ 10½″   /   179cm,,"Panama City, Panama","Havana, Cuba",23,2,0
Dennis Hogan,https://boxrec.com/images/thumb/f/f5/562383.jpeg/200px-562383.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2952432,super welter,5.0,37,280,22.58%,2011-2023,2011-04-01,,,562383,,male,'Hurricane',38,Ireland,orthodox,5′ 8″   /   173cm,68½″   /   174cm,"Newstead, Queensland, Australia","Kildare, Ireland",31,5,1
Roiman Villa,https://boxrec.com/images/thumb/2/23/713780.jpg/200px-713780.jpg,https://boxrec.com/wiki/index.php?title=Fight:2990715,welter,5.0,28,97,92.31%,2015-2023,2015-01-31,,,713780,Roiman Villa Soto,male,Flaco de Oro,30,Colombia,orthodox,5′ 7″   /   170cm,70″   /   178cm,"Rosario, Venezuela","Rosario, Venezuela",26,2,0
Jose Nunez,https://boxrec.com/images/thumb/1/12/Jose_Nunez_777876.jpeg/200px-Jose_Nunez_777876.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3113076,light,5.0,19,112,41.18%,2016-2024,2016-10-28,,,777876,José Raúl Núñez Espinosa,male,Magnifico,25,Panama,southpaw,5′ 7″   /   170cm,65″   /   165cm,"Panama City, Panama","Panama City, Panama",17,0,2
Luis Ortiz,https://boxrec.com/images/thumb/4/48/OrtizLuis2.jpg/200px-OrtizLuis2.jpg,https://boxrec.com/wiki/index.php?title=Fight:3108696,heavy,5.0,39,181,85.29%,2010-2024,2010-02-16,,,528949,,male,King Kong,44,Cuba,southpaw,6′ 4″   /   193cm,78″   /   198cm,"Miami, Florida, USA","Camaguey, Cuba",34,3,0
Josh Kelly,https://boxrec.com/images/thumb/6/6f/788492.jpeg/200px-788492.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2977378,super welter,5.0,17,114,53.33%,2017-2023,2017-04-15,,,788492,,male,'Pretty Boy',29,United Kingdom,orthodox,5′ 10″   /   178cm,72″   /   183cm,"Sunderland, Tyne and Wear, United Kingdom","Sunderland, Tyne and Wear, United Kingdom",15,1,1
Sivenathi Nontshinga,https://boxrec.com/images/thumb/6/6d/Sive_nontshinga.jpg/200px-Sive_nontshinga.jpg,https://boxrec.com/wiki/index.php?title=Fight:3093162,light fly,5.0,13,82,75%,2017-2023,2017-07-30,,,805603,Sivenathi Nontshinga,male,Special One,25,South Africa,orthodox,5′ 5″   /   165cm,67″   /   170cm,"Reeston, Eastern Cape, South Africa","Newlands, Eastern Cape, South Africa",12,1,0
Luis Reynaldo Nunez,https://boxrec.com/images/thumb/8/83/854611.jpg/200px-854611.jpg,https://boxrec.com/wiki/index.php?title=Fight:2947185,feather,5.0,19,96,68.42%,2018-2023,2018-08-11,,,854611,Luis Reynaldo Nuñez Mosquea,male,The Twist,24,Dominican Republic,,5′ 7″   /   170cm,67″   /   170cm,"New York, USA","Puerto Plata, Dominican Republic",19,0,0
Samir Ziani,https://boxrec.com/images/thumb/c/c8/SamirZiani.jpg/200px-SamirZiani.jpg,https://boxrec.com/wiki/index.php?title=Fight:3070857,super feather,5.0,39,303,22.86%,2010-2023,2010-05-21,,,537406,,male,,33,France,southpaw,5′ 6″   /   168cm,,"Blagnac, Haute-Garonne, France",France,35,3,1
Radzhab Butaev,https://boxrec.com/images/thumb/0/0d/750459.jpg/200px-750459.jpg,https://boxrec.com/wiki/index.php?title=Fight:3053325,super welter,5.0,17,81,80%,2016-2023,2016-03-25,,,750459,Раджаб Юсупович Бутаев,male,No Mercy,30,Russia,orthodox,5′ 10½″   /   179cm,72″   /   183cm,"Indio, California, USA","Burtunay, Russia",15,1,0
Brian Norman Jr,https://boxrec.com/images/thumb/8/89/824560a.jpg/200px-824560a.jpg,https://boxrec.com/wiki/index.php?title=Fight:3094972,welter,5.0,26,79,76%,2018-2023,2018-01-20,,,824560,,male,The Assassin II,23,USA,orthodox,5′ 8″   /   173cm,72″   /   183cm,"Conyers, Georgia, USA","Decatur, Georgia, USA",25,0,0
Arnold Khegai,https://boxrec.com/images/thumb/3/35/ArnoldKhegai1.jpg/200px-ArnoldKhegai1.jpg,https://boxrec.com/wiki/index.php?title=Fight:3106831,feather,5.0,23,132,61.9%,2015-2024,2015-10-28,,,734409,Арнольд Аркадiйович Хегай,male,Arni,31,Ukraine,orthodox,5′ 5″   /   165cm,66″   /   168cm,"Los Angeles, California, USA","Lymanske, Ukraine",21,1,1
Gavin Gwynne,https://boxrec.com/images/thumb/4/45/763307.jpeg/200px-763307.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3108625,light,5.0,20,143,29.41%,2016-2023,2016-07-23,,,763307,,male,,33,United Kingdom,orthodox,6′ 0″   /   183cm,,"Treharris, Wales, United Kingdom","Merthyr Tydfil, Wales, United Kingdom",17,2,1
Ricardo Malajika,https://boxrec.com/images/thumb/8/8e/851442.jpeg/200px-851442.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2994137,super fly,5.0,14,77,75%,2018-2023,2018-10-21,,IBO World Super Fly,851442,,male,,25,South Africa,orthodox,,,"Johannesburg, Gauteng, South Africa","Johannesburg, Gauteng, South Africa",12,2,0
Ricardo Rafael Sandoval,https://boxrec.com/images/thumb/e/ed/Ricardo_Sandoval.jpg/200px-Ricardo_Sandoval.jpg,https://boxrec.com/wiki/index.php?title=Fight:3036470,fly,5.0,25,127,69.57%,2016-2023,2016-06-18,,,765181,Ricardo Rafael Sandoval,male,El Nino,25,USA,orthodox,5′ 6″   /   168cm,,"Rialto, California, USA","Montclair, California, USA",23,2,0
Miguel Esparza Cruz,https://boxrec.com/images/thumb/a/a8/817705_2024.jpg/200px-817705_2024.jpg,https://boxrec.com/wiki/index.php?title=Fight:3109732,super feather,5.0,13,60,61.54%,2017-2024,2017-11-04,,,817705,Miguel Ángel Esparza Cruz,male,Fantastico,23,Mexico,,,,"Ciudad Juarez, Chihuahua, Mexico",,13,0,0
Karen Chukhadzhian,https://boxrec.com/images/thumb/d/d0/718379.jpg/200px-718379.jpg,https://boxrec.com/wiki/index.php?title=Fight:3056692,welter,5.0,25,151,56.52%,2015-2023,2015-04-25,,,718379,Карен Чухаджян,male,,27,Ukraine,orthodox,5′ 9½″   /   176cm,,"Kiev, Ukraine","Kiev, Ukraine",23,2,0
David Jimenez,https://boxrec.com/images/thumb/b/b1/868719.jpg/200px-868719.jpg,https://boxrec.com/wiki/index.php?title=Fight:3114625,fly,5.0,15,87,78.57%,2019-2024,2019-02-16,,,868719,David Alejandro Jimenez Rodriguez,male,Medallita,31,Costa Rica,orthodox,5′ 4½″   /   164cm,,"Cartago, Costa Rica","Cartago, Costa Rica",14,1,0
Richard Riakporhe,https://boxrec.com/images/thumb/c/c6/RichardR.jpg/200px-RichardR.jpg,https://boxrec.com/wiki/index.php?title=Fight:3071038,cruiser,5.0,17,77,76.47%,2016-2023,2016-08-06,,,769396,,male,,34,United Kingdom,orthodox,6′ 5″   /   196cm,77″   /   196cm,"Walworth, London, United Kingdom","London, United Kingdom",17,0,0
Panya Pradabsri,https://boxrec.com/images/thumb/8/85/675026a.jpg/200px-675026a.jpg,https://boxrec.com/wiki/index.php?title=Fight:3094970,minimum,5.0,43,270,60.98%,2014-2023,2014-01-10,,,675026,Panya Pradabsri,male,Petchmanee CP Freshmart,32,Thailand,orthodox,5′ 2″   /   158cm,64″   /   162cm,"Bangkok, Thailand","Nam Yuen, Thailand",41,2,0
Ginjiro Shigeoka,https://boxrec.com/images/thumb/7/73/Ginjiro_Shigeoka.jpeg/200px-Ginjiro_Shigeoka.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3119660,minimum,5.0,11,51,80%,2018-2023,2018-09-25,,IBF World Minimum,846108,重岡銀次朗,male,,24,Japan,southpaw,5′ 0″   /   153cm,61½″   /   156cm,"Tokyo, Japan","Kumamoto, Kumamoto, Japan",10,0,0
Robert Guerrero,https://boxrec.com/images/thumb/6/69/RobertJosephGuerreroBoxrec.jpg/200px-RobertJosephGuerreroBoxrec.jpg,https://boxrec.com/wiki/index.php?title=Fight:3087861,welter,5.0,47,322,52.63%,2001-2023,2001-04-22,,,067437,Robert Joseph Martinez Guerrero,male,The Ghost,40,USA,southpaw,5′ 9″   /   175cm,71″   /   180cm,"Las Vegas, Nevada, USA","Gilroy, California, USA",38,6,1
Mercito Gesta,https://boxrec.com/images/thumb/9/9e/218078.jpeg/200px-218078.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3009509,light,5.0,41,270,50%,2003-2023,2003-10-19,,,218078,Mercito Moya Gesta,male,Guerrero No Mercy,36,Philippines,southpaw,5′ 7″   /   170cm,68″   /   173cm,"San Diego, California, USA","Mandaue City, Cebu, Philippines",34,4,3
Liam Wilson,https://boxrec.com/images/thumb/8/8e/837200.jpeg/200px-837200.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3117048,super feather,5.0,15,90,53.85%,2018-2023,2018-06-29,,,837200,,male,,27,Australia,orthodox,5′ 9½″   /   176cm,70″   /   178cm,"Caboolture, Queensland, Australia","Redcliffe, Queensland, Australia",13,2,0
Eduardo Nunez,https://boxrec.com/images/thumb/3/3f/733152.jpg/200px-733152.jpg,https://boxrec.com/wiki/index.php?title=Fight:3053571,super feather,5.0,26,86,100%,2015-2023,2015-09-26,,,733152,José Eduardo Núnez Navarro,male,Sugar,26,Mexico,orthodox,5′ 6″   /   168cm,68″   /   173cm,"Los Mochis, Sinaloa, Mexico",,25,1,0
Rohan Polanco,https://boxrec.com/images/thumb/5/50/852484.jpeg/200px-852484.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3094975,super light,5.0,11,54,63.64%,2020-2023,2020-09-19,,,852484,Rohan Polanco Emiliano,male,El Rayo,25,Dominican Republic,,5′ 10″   /   178cm,,"Santo Domingo, Dominican Republic","Los Alcarrizos, Dominican Republic",11,0,0
Bryan Mercado Vazquez,https://boxrec.com/images/thumb/0/0c/BryanMercado.jpg/200px-BryanMercado.jpg,https://boxrec.com/wiki/index.php?title=Fight:3050851,super bantam,5.0,28,87,81.48%,2014-2023,2014-11-21,,,706444,,male,El Chillon Destructor,28,Mexico,,,,"Mexico City, Distrito Federal, Mexico","Mexico City, Distrito Federal, Mexico",27,1,0
Otar Eranosyan,https://boxrec.com/images/thumb/b/b9/854266.jpeg/200px-854266.jpeg,https://boxrec.com/wiki/index.php?title=Fight:2998823,super feather,5.0,14,84,50%,2020-2023,2020-08-28,,,854266,,male,Pitbull,30,Georgia,orthodox,5′ 5″   /   165cm,,"Miami Beach, Florida, USA","Akhalkalaki, Georgia",14,0,0
Elijah Garcia,https://boxrec.com/images/thumb/1/1c/927452_2023.jpeg/200px-927452_2023.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3027130,middle,5.0,16,54,81.25%,2020-2023,2020-02-22,,,927452,Elijah Lorenzo García,male,,20,USA,southpaw,6′ 0″   /   183cm,,"Phoenix, Arizona, USA","Glendale, Arizona, USA",16,0,0
Jackson Chauke,https://boxrec.com/images/thumb/5/5f/472219_2024.jpg/200px-472219_2024.jpg,https://boxrec.com/wiki/index.php?title=Fight:3091182,fly,5.0,28,179,62.5%,2008-2024,2008-10-07,,IBO World Fly,472219,Jackson Van Tonter Chauke,male,M3,38,South Africa,,,,"Tembisa, Gauteng, South Africa",South Africa,24,2,2
Khariton Agrba,https://boxrec.com/images/thumb/8/8e/856311.jpeg/200px-856311.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3106884,super light,5.0,12,70,66.67%,2019-2023,2019-12-13,,,856311,Харитон Даурович Агрба,male,,28,Russia,southpaw,5′ 9½″   /   176cm,,"Volgodonsk, Russia","Gagra, Georgia",12,0,0
Jeremia Nakathila,https://boxrec.com/images/thumb/5/53/674303a.jpg/200px-674303a.jpg,https://boxrec.com/wiki/index.php?title=Fight:2982590,light,5.0,27,118,82.61%,2013-2023,2013-10-11,,,674303,Jeremia Shanyengange Nakathila,male,Low Key,34,Namibia,,,,"Windhoek, Namibia","Uukwanangaya, Namibia",23,4,0
Otabek Kholmatov,https://boxrec.com/images/thumb/9/9c/863079.jpg/200px-863079.jpg,https://boxrec.com/wiki/index.php?title=Fight:3094918,feather,5.0,12,47,91.67%,2021-2023,2021-08-13,,,863079,,male,,25,Uzbekistan,,5′ 7″   /   170cm,,"Hollywood, Florida, USA","Sirdaryo, Uzbekistan",12,0,0
Hector Andres Sosa,https://boxrec.com/images/thumb/f/f7/811132a.JPG/200px-811132a.JPG,https://boxrec.com/wiki/index.php?title=Fight:2999272,feather,5.0,18,108,56.25%,2017-2023,2017-09-01,,IBO World Feather,811132,,male,La Maquinita,28,Argentina,orthodox,5′ 5½″   /   167cm,,"Junín, Buenos Aires, Argentina","Junín, Buenos Aires, Argentina",16,2,0
Jono Carroll,https://boxrec.com/images/thumb/9/97/634535.jpg/200px-634535.jpg,https://boxrec.com/wiki/index.php?title=Fight:2935595,super feather,5.0,27,181,29.17%,2012-2023,2012-12-16,,,634535,Jonathan Patrick Beresford,male,'King Kong',31,Ireland,southpaw,5′ 7″   /   170cm,,"Dublin, Ireland","Dublin, Ireland",24,2,1
Ja'Rico O'Quinn,https://boxrec.com/images/thumb/d/da/Jarico_OQuinn.jpeg/200px-Jarico_OQuinn.jpeg,https://boxrec.com/wiki/index.php?title=Fight:3113143,super bantam,5.0,19,89,52.94%,2015-2023,2015-04-10,,,717382,Ja'Rico Joseph O'Quinn,male,,28,USA,orthodox,5′ 6″   /   168cm,67½″   /   171cm,"Detroit, Michigan, USA","Detroit, Michigan, USA",17,1,1
Abraham Nova,https://boxrec.com/images/thumb/0/08/AbrahamNovaBoxrec.jpg/200px-AbrahamNovaBoxrec.jpg,https://boxrec.com/wiki/index.php?title=Fight:3088367,super feather,5.0,24,112,69.57%,2016-2023,2016-04-29,,,757058,,male,El Super,30,USA,orthodox,5′ 9″   /   175cm,72″   /   183cm,"Albany, New York, USA",Puerto Rico,23,1,0
Shu Utsuki,https://boxrec.com/images/thumb/6/62/829717.jpg/200px-829717.jpg,https://boxrec.com/wiki/index.php?title=Fight:3060381,light,5.0,14,66,84.62%,2018-2023,2018-03-27,,,829717,宇津木秀,male,,29,Japan,orthodox,5′ 8½″   /   174cm,67″   /   170cm,"Tokyo, Japan","Tokorozawa, Saitama, Japan",13,1,0
Sho Ishida,https://boxrec.com/images/thumb/c/ce/484564.jpg/200px-484564.jpg,https://boxrec.com/wiki/index.php?title=Fight:3055723,bantam,5.0,37,223,50%,2009-2023,2009-02-08,,,484564,石田匠,male,,32,Japan,orthodox,5′ 8″   /   173cm,,"Osaka, Osaka, Japan","Sakai, Osaka, Japan",34,3,0
